Isolate 7-	53.85% overall alignment rate
Isolate 32-	85.59% overall alignment rate
Isolate 58	83.06% overall alignment rate
Isolate 61	74.24% overall alignment rate
Isolate 64	70.31% overall alignment rate
Isolate 65	82.49% overall alignment rate
Isolate 1-	84.61% overall alignment rate
Isolate 11	81.34% overall alignment rate
Isolate 12	84.57% overall alignment rate
Isolate 12-	84.87% overall alignment rate
Isolate 13	84.59% overall alignment rate
Isolate 14	85.51% overall alignment rate
Isolate 15	86.06% overall alignment rate
Isolate 15-	83.50% overall alignment rate
Isolate 16	85.69% overall alignment rate
Isolate 16-	43.18% overall alignment rate
Isolate 17	70.97% overall alignment rate
Isolate 18	85.58% overall alignment rate
Isolate 21-	16.68% overall alignment rate
Isolate 22	84.87% overall alignment rate
Isolate 22-	47.80% overall alignment rate
Isolate 23-	85.39% overall alignment rate
Isolate 24	85.06% overall alignment rate
Isolate 25	60.31% overall alignment rate
Isolate 27	84.00% overall alignment rate
Isolate 29	23.26% overall alignment rate
Isolate 32	85.83% overall alignment rate
Isolate 34	25.87% overall alignment rate
Isolate 36	81.51% overall alignment rate
Isolate 38	85.87% overall alignment rate
Isolate 39-	10.85% overall alignment rate
Isolate 4-	84.43% overall alignment rate
Isolate 41	84.43% overall alignment rate
Isolate 43	82.95% overall alignment rate
Isolate 47	80.27% overall alignment rate
Isolate 49	81.83% overall alignment rate
Isolate 5	83.72% overall alignment rate
Isolate 5-	81.96% overall alignment rate
Isolate 52	84.40% overall alignment rate
Isolate 54	82.21% overall alignment rate
Isolate 55	82.19% overall alignment rate
Isolate 56	2.45% overall alignment rate
Isolate 59	84.06% overall alignment rate
Isolate 6	85.75% overall alignment rate
Isolate 60	71.88% overall alignment rate
Isolate 69	51.58% overall alignment rate
Isolate 7	39.14% overall alignment rate
Isolate 70	28.18% overall alignment rate
Isolate 71	85.69% overall alignment rate
Isolate 9	58.06% overall alignment rate
